run,Scenario,Version,World,Regionalisation,aftParamId,ThresholdTimberGlobal,ThresholdCerealGlobal,ThresholdMeatGlobal,ThresholdRecreationGlobal,ThresholdTimberRegional,ThresholdCerealRegional,ThresholdMeatRegional,ThresholdRecreationRegional,FactorCerealGlobal,FactorMeatGlobal,FactorTimberGlobal,FactorCerealRegional,FactorMeatRegional,FactorTimberRegional,GlobalInstNoise,InstitutionNoise,GlobalInstActionRT,RegionalInstActionRT,MonitorDelay,MonitorDelayRegion,PACconsiderGlobal,PACconsiderRegional,GlobalInstitutions_xml,BT_xml,GlobalInstBT,frPas,Insititutions_xml,RegionCsvFile,DemandFolder,Agent_xml,Competition_xml,Allocation_xml,Allocation_percentageCell,Allocation_percentageTakeovers,SocialNetwork_xml,LARAmodel_xml,allocprob,pathToData
0,A1,_setA/_RegGlobMax,WorldX,3,0,0.05,0.2,0.2,0.2,0.05,0.1,99,99,0.5,0.5,0.5,1.5,1.5,1.7,0,0,1,1,0,0,0,0,../institutions/global/NoGlobalInstitutions.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesA.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasA.xml,./institutions/Institutions_RegionalProvision.xml,/..//worlds/WorldX/regionalisations/3.csv,../_BLwX/demand/demand01,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,0,None,../lara/RegionalLaraModel.xml,0.2,../..
1,A1,_setA/_RegGlobMax,WorldX,3,0,0.05,0.2,0.2,0.2,0.05,0.1,99,99,0.5,0.5,0.5,1.5,1.5,1.7,0,0,1,1,0,0,0,0,../institutions/global/NoGlobalInstitutions.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesA.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasA.xml,./institutions/Institutions_RegionalProvision.xml,/..//worlds/WorldX/regionalisations/3.csv,../_BLwX/demand/demand01,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
2,A1,_setA/_RegGlobMax,WorldX,3,0,0.05,0.2,0.2,0.2,0.05,0.1,99,99,0.5,0.5,0.5,1.5,1.5,1.7,0,0,1,1,0,0,0,0,../institutions/global/NoGlobalInstitutions.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesA.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvision.xml,/..//worlds/WorldX/regionalisations/3.csv,../_BLwX/demand/demand01,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
3,A1,_setA/_RegGlobMax,WorldX,3,0,0.05,0.2,0.2,0.2,0.05,0.1,99,99,0.5,0.5,0.5,1.5,1.5,1.7,0,0,1,1,0,0,0,0,../institutions/global/NoGlobalInstitutions.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesB.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvision.xml,/..//worlds/WorldX/regionalisations/3.csv,../_BLwX/demand/demand01,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
4,A1,_setA/_RegGlobMax,WorldX,3,0,0.05,0.2,0.2,0.2,0.05,0.1,99,99,0.5,0.5,0.5,1.5,1.5,1.7,0,0,1,1,0,0,0,0,../institutions/global/NoGlobalInstitutions.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesB.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasC.xml,./institutions/Institutions_RegionalProvision.xml,/..//worlds/WorldX/regionalisations/3.csv,../_BLwX/demand/demand01,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
5,A1,_setA/_RegGlobMax,WorldX,3,0,0.05,0.2,0.2,0.2,0.05,0.1,99,99,0.5,0.5,0.5,1.5,1.5,1.7,0,0,1,1,0,0,0,0,../institutions/global/NoGlobalInstitutions.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesB.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasD.xml,./institutions/Institutions_RegionalProvision.xml,/..//worlds/WorldX/regionalisations/3.csv,../_BLwX/demand/demand01,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
6,A1,_setA/_RegGlobMax,WorldX,3,0,0.05,0.2,0.2,0.2,0.05,0.1,99,99,0.5,0.5,0.5,1.5,1.5,1.7,0,0,1,1,0,0,0,0,../institutions/global/NoGlobalInstitutions.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesC.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasC.xml,./institutions/Institutions_RegionalProvision.xml,/..//worlds/WorldX/regionalisations/3.csv,../_BLwX/demand/demand01,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
7,A1,_setA/_RegGlobMax,WorldX,3,0,0.05,0.2,0.2,0.2,0.05,0.1,99,99,0.5,0.5,0.5,1.5,1.5,1.7,0,0,1,1,0,0,0,0,../institutions/global/NoGlobalInstitutions.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesD.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasC.xml,./institutions/Institutions_RegionalProvision.xml,/..//worlds/WorldX/regionalisations/3.csv,../_BLwX/demand/demand01,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
8,A1,_setA/_RegGlobMax,WorldX,3,0,0.05,0.2,0.2,0.2,0.05,0.1,99,99,0.5,0.5,0.5,1.5,1.5,1.7,0,0,1,1,0,0,0,0,../institutions/global/NoGlobalInstitutions.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesD.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvision.xml,/..//worlds/WorldX/regionalisations/3.csv,../_BLwX/demand/demand01,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
9,A1,_setA/_RegGlobMax,WorldX,3,0,0.05,0.2,0.2,0.2,0.05,0.1,99,99,0.5,0.5,0.5,1.5,1.5,1.7,0,0,1,1,0,0,0,0,../institutions/global/NoGlobalInstitutions.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesD.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvision.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand03,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
